departamento,provincia,municipio,codigo,tipo,nacion_pueblo,casos,porcentaje_indigena_sobre_indigena,poblacion,porcentaje_indigena_poblacion_total,año
CHUQUISACA,OROPEZA,SUCRE,010101,A ,AYMARA,2116,2.6,261201,0.81,2012
CHUQUISACA,OROPEZA,SUCRE,010101,A ,QUECHUA,72462,88.87,261201,27.742,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,AFROBOLIVIANO,422,0.52,261201,0.162,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,ARAONA,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,AYOREO,10,0.01,261201,0.004,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,BAURE,6,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,CAVINEÑO,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,CAYUBABA,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,CHACOBO,4,0,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,CHIQUITANO,153,0.19,261201,0.059,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,URU CHIPAYAS,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,ESSE EJJA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,GUARASUGWE,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,GUARAYO,40,0.05,261201,0.015,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,GUARANI,742,0.91,261201,0.284,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,ITONOMA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,JOAQUINIANO,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,KALLAWAYA,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,LECO,7,0.01,261201,0.003,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MAROPA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,REYESANO,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MOJEÑO,88,0.11,261201,0.034,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,TRINITARIO,5,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MOSETÉN,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MOVIMA,11,0.01,261201,0.004,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MURATO,5,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,URUS,7,0.01,261201,0.003,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,PACAHUARA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,TACANA,7,0.01,261201,0.003,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,TAPIETE,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,TSIMANE CHIMAN,40,0.05,261201,0.015,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,WEENAYEK,4,0,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,YUKI,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,YURACARÉ,22,0.03,261201,0.008,2012
CHUQUISACA,OROPEZA,SUCRE,010101,B ,MOJEÑO,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,AROMA,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,AYLLU JALKA,173,0.21,261201,0.066,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,AYLLU KACACHACA,6,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,AYLLU PORCO,8,0.01,261201,0.003,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,AYLLU YURA,5,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHALLAPATA,6,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHAQUI,6,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHAYANTA,93,0.11,261201,0.036,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHICHAS,258,0.32,261201,0.099,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHIRIGUANO,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CHULLPAS,9,0.01,261201,0.003,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,COROMA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,HUARI,4,0,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,JACH'A PACAJAQUI,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,JESÚS DE MACHACA,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,LAGUNILLAS,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,LARECAJA,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,LIPEZ,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,MOJOCOYA,27,0.03,261201,0.01,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,POJPO,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,POROMA,28,0.03,261201,0.011,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,QHAPAQ UMA SUYU,20,0.02,261201,0.008,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,QHARA QHARA,1384,1.7,261201,0.53,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,QOLLAS,88,0.11,261201,0.034,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,QUILA QUILA,39,0.05,261201,0.015,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,QUILLACAS,1,0,261201,0,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,SALINAS,3,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,SAN JUAN,17,0.02,261201,0.007,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,SUYU CHARCAS,17,0.02,261201,0.007,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,TINQUIPAYA,6,0.01,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,TOTORA MARKA,4,0,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,YAMPARA,680,0.83,261201,0.26,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,YAPACANÍ,2,0,261201,0.001,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,ORIGINARIO,249,0.31,261201,0.095,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,INTERCULTURAL,4,0,261201,0.002,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,CAMPESINO,1771,2.17,261201,0.678,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,INDÍGENA,401,0.49,261201,0.154,2012
CHUQUISACA,OROPEZA,SUCRE,010101,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,27,0.03,261201,0.01,2012
CHUQUISACA,OROPEZA,YOTALA,010102,A ,AYMARA,16,0.23,9461,0.169,2012
CHUQUISACA,OROPEZA,YOTALA,010102,A ,QUECHUA,6759,96.45,9461,71.441,2012
CHUQUISACA,OROPEZA,YOTALA,010102,B ,AYOREO,1,0.01,9461,0.011,2012
CHUQUISACA,OROPEZA,YOTALA,010102,B ,CHIQUITANO,2,0.03,9461,0.021,2012
CHUQUISACA,OROPEZA,YOTALA,010102,B ,GUARANI,24,0.34,9461,0.254,2012
CHUQUISACA,OROPEZA,YOTALA,010102,B ,MOJEÑO,1,0.01,9461,0.011,2012
CHUQUISACA,OROPEZA,YOTALA,010102,B ,TSIMANE CHIMAN,3,0.04,9461,0.032,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,CALCHA,1,0.01,9461,0.011,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,CHICHAS,1,0.01,9461,0.011,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,QHARA QHARA,65,0.93,9461,0.687,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,YAMPARA,2,0.03,9461,0.021,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,ORIGINARIO,91,1.3,9461,0.962,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,CAMPESINO,10,0.14,9461,0.106,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,INDÍGENA,28,0.4,9461,0.296,2012
CHUQUISACA,OROPEZA,YOTALA,010102,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,4,0.06,9461,0.042,2012
CHUQUISACA,OROPEZA,POROMA,010103,A ,AYMARA,47,0.31,17377,0.27,2012
CHUQUISACA,OROPEZA,POROMA,010103,A ,QUECHUA,13992,91.03,17377,80.52,2012
CHUQUISACA,OROPEZA,POROMA,010103,B ,AFROBOLIVIANO,4,0.03,17377,0.023,2012
CHUQUISACA,OROPEZA,POROMA,010103,B ,GUARANI,10,0.07,17377,0.058,2012
CHUQUISACA,OROPEZA,POROMA,010103,B ,MACHINERI,1,0.01,17377,0.006,2012
CHUQUISACA,OROPEZA,POROMA,010103,B ,MOJEÑO,1,0.01,17377,0.006,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,AYLLU JALKA,123,0.8,17377,0.708,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,AYLLU YURA,2,0.01,17377,0.012,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,POJPO,3,0.02,17377,0.017,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,POROMA,93,0.61,17377,0.535,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,QHARA QHARA,594,3.86,17377,3.418,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,SAN JUAN,2,0.01,17377,0.012,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,YAMPARA,6,0.04,17377,0.035,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,ORIGINARIO,273,1.78,17377,1.571,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,CAMPESINO,137,0.89,17377,0.788,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,INDÍGENA,77,0.5,17377,0.443,2012
CHUQUISACA,OROPEZA,POROMA,010103,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,6,0.04,17377,0.035,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,A ,AYMARA,2,0.03,10652,0.019,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,A ,QUECHUA,7468,98.5,10652,70.109,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,B ,AFROBOLIVIANO,2,0.03,10652,0.019,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,B ,GUARAYO,2,0.03,10652,0.019,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,B ,GUARANI,7,0.09,10652,0.066,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,QHARA QHARA,1,0.01,10652,0.009,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,YAMPARA,11,0.15,10652,0.103,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,ORIGINARIO,64,0.84,10652,0.601,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,CAMPESINO,20,0.26,10652,0.188,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,INDÍGENA,4,0.05,10652,0.038,2012
CHUQUISACA,AZURDUY,AZURDUY,010201,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,1,0.01,10652,0.009,2012
CHUQUISACA,AZURDUY,TARVITA,010202,A ,AYMARA,34,0.27,14261,0.238,2012
CHUQUISACA,AZURDUY,TARVITA,010202,A ,QUECHUA,12111,97.27,14261,84.924,2012
CHUQUISACA,AZURDUY,TARVITA,010202,B ,CHIQUITANO,2,0.02,14261,0.014,2012
CHUQUISACA,AZURDUY,TARVITA,010202,B ,GUARAYO,2,0.02,14261,0.014,2012
CHUQUISACA,AZURDUY,TARVITA,010202,B ,GUARANI,11,0.09,14261,0.077,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,CHIRIGUANO,1,0.01,14261,0.007,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,QHARA QHARA,1,0.01,14261,0.007,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,YAMPARA,102,0.82,14261,0.715,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,ORIGINARIO,6,0.05,14261,0.042,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,CAMPESINO,141,1.13,14261,0.989,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,INDÍGENA,20,0.16,14261,0.14,2012
CHUQUISACA,AZURDUY,TARVITA,010202,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,20,0.16,14261,0.14,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,A ,AYMARA,54,0.56,11362,0.475,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,A ,QUECHUA,9293,96.21,11362,81.79,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,B ,AFROBOLIVIANO,3,0.03,11362,0.026,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,B ,CHIQUITANO,2,0.02,11362,0.018,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,B ,GUARANI,22,0.23,11362,0.194,2012
CHUQUISACA,ZUDÁÑEZ,ZUDÁÑEZ,010301,C ,QHARA QHARA,1,0.01,11362,0.009,2012
